****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 239257 ******* 

Variable    Labels
ER6054     F2 HOUSEWORK HRS-WIFE                   
ER6055     F3 HOUSEWORK HOURS-HEAD                 
ER7001     RELEASE NUMBER                          
ER7002     1996 INTERVIEW #                        
ER8151     F2 HOUSEWORK HRS-WIFE                   
ER8152     F3 HOUSEWORK HOURS-HEAD                 
ER10001    RELEASE NUMBER                          
ER10002    1997 INTERVIEW #                        
ER11045    F2 HOUSEWORK HRS-WIFE                   
ER11046    F3 HOUSEWORK HOURS-HEAD                 
ER13001    RELEASE NUMBER                          
ER13002    1999 FAMILY INTERVIEW (ID) NUMBER       
ER14229    F2 HOUSEWORK HRS-WIFE                   
ER14230    F3 HOUSEWORK HOURS-HEAD                 
ER17001    RELEASE NUMBER                          
ER17002    2001 FAMILY INTERVIEW (ID) NUMBER       
ER18357    F2 HOUSEWORK HRS-WIFE                   
ER18359    F3 HOUSEWORK HOURS-HEAD                 
ER21001    RELEASE NUMBER                          
ER21002    2003 FAMILY INTERVIEW (ID) NUMBER       
ER21623    F2 HOUSEWORK HRS-WIFE                   
ER21625    F3 HOUSEWORK HOURS-HEAD                 
ER25001    RELEASE NUMBER                          
ER25002    2005 FAMILY INTERVIEW (ID) NUMBER       
ER25620    F2 HOUSEWORK HRS-WIFE                   
ER25622    F3 HOUSEWORK HOURS-HEAD                 
ER36001    RELEASE NUMBER                          
ER36002    2007 FAMILY INTERVIEW (ID) NUMBER       
ER36625    F2 HOUSEWORK HRS-WIFE                   
ER36627    F3 HOUSEWORK HOURS-HEAD                 
ER42001    RELEASE NUMBER                          
ER42002    2009 FAMILY INTERVIEW (ID) NUMBER       
ER42644    F2 HOUSEWORK HRS-WIFE                   
ER42646    F3 HOUSEWORK HOURS-HEAD                 
ER47301    RELEASE NUMBER                          
ER47302    2011 FAMILY INTERVIEW (ID) NUMBER       
ER47962    F2 HOUSEWORK HRS-WIFE                   
ER47964    F3 HOUSEWORK HOURS-HEAD                 
ER53001    RELEASE NUMBER                          
ER53002    2013 FAMILY INTERVIEW (ID) NUMBER       
ER53674    F2 HOUSEWORK HRS-WIFE                   
ER53676    F3 HOUSEWORK HOURS-HEAD                 
ER60001    RELEASE NUMBER                          
ER60002    2015 FAMILY INTERVIEW (ID) NUMBER       
ER60689    F2 HOUSEWORK HRS-SPOUSE                 
ER60691    F3 HOUSEWORK HOURS-HEAD                 

*** End of labels ******************************* 
