"","KID","CaretypeBroad","Arrange97","Exp97Tot","Hours97Tot","Arrange","Hours97","Exp97"
"105",126030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"106",128030,"External","Non Relative",62.5,37.5,4,30,31.25
"107",128031,"External","Non Relative",145,39,4,30,125
"108",129040,"External",NA,0,0,NA,NA,NA
"109",129041,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"110",129197,"External",NA,0,0,NA,NA,NA
"111",134030,"External","Care Center",204,50,6,50,204
"112",134031,"External","Care Center",204,50,6,50,204
"113",138032,"External","Non Relative",0,5,4,5,0
"114",138033,"External","Non Relative",0,5,4,5,0
"115",145030,"External",NA,0,0,NA,NA,NA
"116",145031,"External","Care Center",31.25,9,6,9,31.25
"117",151037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"118",151038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"119",165032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"120",166033,"External",NA,0,0,NA,NA,NA
"121",172036,"External","Relative",50,40,1,40,50
"122",172179,"External",NA,0,0,NA,NA,NA
"123",172180,"External",NA,0,0,NA,NA,NA
"124",173035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"125",173036,"External",NA,0,0,NA,NA,NA
"126",173037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"127",173038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"128",173039,"External",NA,0,0,NA,NA,NA
"129",173040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"130",174033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"131",174034,"External",NA,0,0,NA,NA,NA
"132",174036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"133",174037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"134",174040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"135",178033,"External",NA,0,0,NA,NA,NA
"136",178034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"137",180030,"External","Relative",0,35,3,35,0
"138",180032,"External",NA,0,0,NA,NA,NA
"139",181031,"External",NA,0,0,NA,NA,NA
"140",181032,"External",NA,0,0,NA,NA,NA
"141",189031,"External","Non Relative",50,10.5,4,10.5,50
"142",190033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"143",195030,"External",NA,0,0,NA,NA,NA
"144",195031,"External",NA,0,0,NA,NA,NA
"145",200034,"External",NA,0,0,NA,NA,NA
"146",200035,"External",NA,0,0,NA,NA,NA
"147",203031,"External",NA,0,0,NA,NA,NA
"148",203033,"External",NA,0,NA,NA,NA,NA
"149",209030,"External",NA,0,0,NA,NA,NA
"150",217032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"151",220030,"External","Care Center",66.25,9,6,9,66.25
"152",221032,"External","Care Center",37.5,40,6,40,37.5
"153",228031,"External",NA,0,0,NA,NA,NA
"154",228032,"External",NA,0,0,NA,NA,NA
"155",236032,"External","Non Relative",80,40,4,40,80
"156",245034,"External",NA,0,0,NA,NA,NA
"157",246031,"External",NA,0,0,NA,NA,NA
"158",250031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"159",250032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"160",257037,"External",NA,0,0,NA,NA,NA
"161",257039,"External","Care Center",83,45,6,45,83
"162",257040,"External","Care Center",100,40,6,40,100
"163",263038,"External","Relative",0,20,3,20,0
"164",266031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"165",266033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"166",266035,"External","Care Center",0,15.5,6,7.5,0
"167",277033,"External",NA,0,0,NA,NA,NA
"168",280032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"169",280033,"External",NA,0,0,NA,NA,NA
"170",284030,"External","Care Center",31.25,3,6,3,31.25
"171",284031,"External","Care Center",31.25,9,6,9,31.25
"172",297048,"External",NA,0,0,NA,NA,NA
"173",302036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"174",302037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"175",308037,"External",NA,0,0,NA,NA,NA
"176",311032,"External",NA,0,0,NA,NA,NA
"177",311033,"External",NA,0,0,NA,NA,NA
"178",315030,"External",NA,0,0,NA,NA,NA
"179",319031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"180",319032,"External",NA,0,0,NA,NA,NA
"181",321032,"External",NA,0,0,NA,NA,NA
"182",321176,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"183",321177,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"184",323032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"185",323033,"External","Care Center",22.5,5,6,5,22.5
"186",323034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"187",327033,"External","Relative",0,40,3,40,0
"188",340031,"External","Care Center",165,30,6,30,165
"189",340034,"External","Care Center",300,30,6,30,300
"190",343032,"External",NA,0,0,NA,NA,NA
"191",343033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"192",344031,"External",NA,0,0,NA,NA,NA
"193",344032,"External",NA,0,0,NA,NA,NA
"194",344033,"External",NA,0,0,NA,NA,NA
"195",344034,"External",NA,0,0,NA,NA,NA
"196",344186,"External","Non Relative",80,35,4,35,80
"197",350030,"External","Care Center",0,10,6,10,0
"198",350031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"199",351037,"External",NA,0,0,NA,NA,NA
"200",351038,"External",NA,0,0,NA,NA,NA
"201",351039,"External","Care Center",65,40,6,40,65
"202",354031,"External",NA,0,0,NA,NA,NA
"203",355031,"External",NA,0,0,NA,NA,NA
"204",355032,"External",NA,0,0,NA,NA,NA
"205",355033,"External","Care Center",65,17,6,17,65
"206",356031,"External","Non Relative",60,40,4,40,60
"207",356032,"External",NA,0,0,NA,NA,NA
"208",361176,"External",NA,0,0,NA,NA,NA
"209",368032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"210",374030,"External",NA,0,0,NA,NA,NA
"211",375030,"External",NA,0,0,NA,NA,NA
"212",375031,"External","Non Relative",72,36,4,36,72
"213",377030,"External","Non Relative",270,31,2,25,225
"214",377031,"External","Non Relative",225,25,2,25,225
"215",391031,"External",NA,0,0,NA,NA,NA
"216",391032,"External",NA,0,0,NA,NA,NA
"217",404033,"External",NA,0,0,NA,NA,NA
"218",404035,"External","Relative",0,40,3,40,0
"219",409033,"External","Non Relative",60,6,4,6,60
"220",409177,"External",NA,0,0,NA,NA,NA
"221",414038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"222",414039,"External",NA,0,0,NA,NA,NA
"223",419033,"External",NA,0,0,NA,NA,NA
"224",419034,"External",NA,0,0,NA,NA,NA
"225",419035,"External","Care Center",0,35,6,35,0
"226",419036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"227",419037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"228",428030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"229",428032,"External",NA,0,0,NA,NA,NA
"230",432032,"External","Head Start",0,45,5,35,0
"231",433031,"External",NA,0,0,NA,NA,NA
"232",433034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"233",433037,"External","Relative",60,36,3,36,60
"234",433038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"235",433040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"236",452037,"External","Relative",75,40,3,40,75
"237",452038,"External",NA,0,0,NA,NA,NA
"238",452178,"External",NA,0,0,NA,NA,NA
"239",452187,"External","Relative",12,12,3,12,12
"240",455032,"External",NA,0,0,NA,NA,NA
"241",455033,"External",NA,0,0,NA,NA,NA
"242",455034,"External","Care Center",0,40,6,40,0
"243",459031,"External","Care Center",100,40,6,40,100
"244",465033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"245",465034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"246",473035,"External",NA,0,0,NA,NA,NA
"247",473036,"External","Care Center",5,3,6,1,0
"248",478038,"External",NA,0,0,NA,NA,NA
"249",478039,"External",NA,0,0,NA,NA,NA
"250",478040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"251",479030,"External",NA,0,0,NA,NA,NA
"252",479031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"253",486030,"External","Non Relative",24,16,4,16,24
"254",486031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"255",487035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"256",487036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"257",487176,"External",NA,0,0,NA,NA,NA
"258",490032,"External",NA,0,0,NA,NA,NA
"259",495034,"External","Non Relative",75,48,4,48,75
"260",495035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"261",495036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"262",495174,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"263",496031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"264",496032,"External","Non Relative",60,45,4,45,60
"265",496183,"External",NA,0,0,NA,NA,NA
"266",496184,"External",NA,0,0,NA,NA,NA
"267",503173,"External","Head Start",0,10,5,10,0
"268",508031,"External",NA,0,0,NA,NA,NA
"269",508032,"External","Non Relative",48,12,4,12,48
"270",508033,"External",NA,0,0,NA,NA,NA
"271",510031,"External","Relative",0,4,3,4,0
"272",512031,"External",NA,0,0,NA,NA,NA
"273",517030,"External","Non Relative",40,6,4,6,40
"274",517031,"External","Non Relative",30,3,4,3,30
"275",517032,"External","Relative",0,16,1,16,0
"276",517033,"External","Relative",125,8,3,8,125
"277",517034,"External","Relative",125,40,3,40,125
"278",534032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"279",544032,"External",NA,0,0,NA,NA,NA
"280",548035,"External",NA,0,0,NA,NA,NA
"281",548036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"282",548037,"External",NA,0,0,NA,NA,NA
"283",548038,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"284",548039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"285",548040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"286",548189,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"287",556036,"External","Care Center",50,35,6,35,50
"288",556037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"289",557176,"External","Non Relative",40,40,2,40,40
"290",557177,"External","Non Relative",40,40,2,40,40
"291",563043,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"292",563044,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"293",563045,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"294",563046,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"295",563047,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"296",564034,"External","Care Center",75,40,6,40,75
"297",565031,"External",NA,0,0,NA,NA,NA
"298",565032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"299",565033,"External",NA,0,0,NA,NA,NA
"300",565034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"301",567177,"External","Non Relative",80,40,4,40,80
"302",569031,"External",NA,0,0,NA,NA,NA
"303",569032,"External",NA,0,0,NA,NA,NA
"304",570035,"External",NA,0,0,NA,NA,NA
"305",570036,"External","Non Relative",40,40,4,40,40
"306",573033,"External",NA,0,0,NA,NA,NA
"307",573035,"External",NA,0,0,NA,NA,NA
"308",577032,"External",NA,0,0,NA,NA,NA
"309",581172,"External",NA,0,0,NA,NA,NA
"310",581173,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"311",582032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"312",582033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"313",582034,"External",NA,0,0,NA,NA,NA
"314",593030,"External",NA,0,0,NA,NA,NA
"315",593031,"External","Care Center",110,40,6,40,110
"316",593033,"External","Non Relative",175,30,2,30,175
"317",597035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"318",597036,"External",NA,0,0,NA,NA,NA
"319",597037,"External","Non Relative",1209,16,4,16,1209
"320",602034,"External",NA,0,0,NA,NA,NA
"321",602035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"322",605031,"External","Non Relative",100,35,4,35,100
"323",607040,"External",NA,0,0,NA,NA,NA
"324",607042,"External",NA,0,0,NA,NA,NA
"325",608186,"External",NA,0,0,NA,NA,NA
"326",610033,"External",NA,0,0,NA,NA,NA
"327",613031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"328",620033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"329",620035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"330",620037,"External",NA,0,0,NA,NA,NA
"331",620039,"External","Care Center",26.25,5,6,5,26.25
"332",624172,"External",NA,0,0,NA,NA,NA
"333",624173,"External",NA,0,0,NA,NA,NA
"334",625030,"External",NA,0,0,NA,NA,NA
"335",625031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"336",625032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"337",626044,"External",NA,0,0,NA,NA,NA
"338",626045,"External","Care Center",126.5,45,6,45,126.5
"339",626047,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"340",626048,"External","Care Center",100,45,6,45,100
"341",626189,"External",NA,0,0,NA,NA,NA
"342",628034,"External",NA,0,0,NA,NA,NA
"343",630033,"External","Non Relative",227.5,35,2,35,227.5
"344",631035,"External",NA,0,0,NA,NA,NA
"345",632176,"External",NA,0,0,NA,NA,NA
"346",632177,"External","Care Center",21,50,6,50,21
"347",633041,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"348",633042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"349",634031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"350",634032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"351",634034,"External","Relative",80,45,3,45,80
"352",636031,"External",NA,0,0,NA,NA,NA
"353",636033,"External","Care Center",76.5,55,6,55,76.5
"354",639032,"External",NA,0,0,NA,NA,NA
"355",644031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"356",647033,"External",NA,0,0,NA,NA,NA
"357",647034,"External",NA,0,0,NA,NA,NA
"358",649032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"359",649033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"360",649034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"361",650178,"External","Unkown Type",40,14,97,14,40
"362",652033,"External",NA,0,0,NA,NA,NA
"363",652034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"364",652035,"External","Unkown Type",18,9,97,9,18
"365",652037,"External","Relative",0,40,3,40,0
"366",654032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"367",654033,"External","Care Center",6,2,6,2,6
"368",655030,"External","Non Relative",216,36,2,36,216
"369",655031,"External","Non Relative",216,36,2,36,216
"370",656031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"371",656033,"External",NA,0,0,NA,NA,NA
"372",656034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"373",656035,"External","Care Center",45,7,6,7,45
"374",664030,"External",NA,0,0,NA,NA,NA
"375",664032,"External",NA,0,0,NA,NA,NA
"376",664034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"377",664035,"External",NA,0,0,NA,NA,NA
"378",672172,"External",NA,0,0,NA,NA,NA
"379",672174,"External",NA,0,0,NA,NA,NA
"380",673032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"381",673033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"382",673174,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"383",674030,"External",NA,0,0,NA,NA,NA
"384",674031,"External","Non Relative",70,40,4,40,70
"385",677034,"External",NA,0,0,NA,NA,NA
"386",677037,"External","Non Relative",60,40,4,40,60
"387",686036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"388",687171,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"389",691030,"External",NA,0,0,NA,NA,NA
"390",691031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"391",691032,"External",NA,0,0,NA,NA,NA
"392",691033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"393",691034,"External","Relative",0,30,3,30,0
"394",691035,"External","Relative",0,30,3,30,0
"395",691036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"396",692033,"External",NA,0,0,NA,NA,NA
"397",692038,"External","Care Center",10,2.5,6,2.5,10
"398",692039,"External","Care Center",10,2.5,6,2.5,10
"399",694033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"400",694034,"External",NA,0,0,NA,NA,NA
"401",698034,"External",NA,0,0,NA,NA,NA
"402",698035,"External",NA,0,0,NA,NA,NA
"403",699033,"External",NA,0,0,NA,NA,NA
"404",699034,"External",NA,0,0,NA,NA,NA
"405",699035,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"406",699036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"407",700032,"External","Relative",0,20,3,20,0
"408",700034,"External","Relative",0,20,3,20,0
"409",702032,"External","Care Center",100,8,6,8,100
"410",704030,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"411",704031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"412",706030,"External","Non Relative",137.5,38,4,38,137.5
"413",706171,"External","Non Relative",100,50,4,50,100
"414",706177,"External","Non Relative",75,50,4,50,75
"415",707030,"External",NA,0,0,NA,NA,NA
"416",707032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"417",709038,"External","Relative",0,40,1,40,0
"418",709039,"External","Relative",0,40,1,40,0
"419",709040,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"420",711030,"External",NA,0,0,NA,NA,NA
"421",711031,"External",NA,0,0,NA,NA,NA
"422",712034,"External",NA,0,0,NA,NA,NA
"423",713037,"External","Non Relative",25,5,4,5,25
"424",713039,"External","Non Relative",67,40,4,40,67
"425",713184,"External","Care Center",60,40,6,40,60
"426",717033,"External","Relative",0,3,3,3,0
"427",719173,"External",NA,0,0,NA,NA,NA
"428",722034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"429",722035,"External","Care Center",80,40,6,40,80
"430",725031,"External",NA,0,0,NA,NA,NA
"431",727030,"External",NA,0,0,NA,NA,NA
"432",728032,"External",NA,0,0,NA,NA,NA
"433",728033,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"434",729031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"435",729032,"External",NA,0,0,NA,NA,NA
"436",729040,"External",NA,0,0,NA,NA,NA
"437",729041,"External","Unkown Type",0,2,97,2,0
"438",729042,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"439",729043,"External","Unkown Type",0,2,97,2,0
"440",749033,"External",NA,0,0,NA,NA,NA
"441",749034,"External",NA,0,0,NA,NA,NA
"442",749035,"External","Care Center",75,30,6,30,75
"443",750031,"External",NA,0,0,NA,NA,NA
"444",750032,"External","Non Relative",52.05,27,4,27,52.05
"445",750033,"External","Non Relative",60,32,4,32,60
"446",750034,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"447",751035,"External",NA,0,0,NA,NA,NA
"448",751037,"External","Care Center",0,12,6,12,0
"449",751038,"External","Non Relative",0,30,4,30,0
"450",751039,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"451",759031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"452",760030,"External","Care Center",106,2,6,2,106
"453",760172,"External",NA,0,0,NA,NA,NA
"454",760173,"External","Care Center",112.5,26,6,26,112.5
"455",760176,"External","Care Center",110,7.5,6,7.5,110
"456",762031,"External",NA,0,0,NA,NA,NA
"457",762174,"External",NA,0,0,NA,NA,NA
"458",762175,"External",NA,0,0,NA,NA,NA
"459",769033,"External",NA,0,0,NA,NA,NA
"460",769035,"External",NA,0,0,NA,NA,NA
"461",769036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"462",769037,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"463",769038,"External","Care Center",10,7.5,6,7.5,10
"464",769039,"External","Non Relative",52.5,35,4,35,52.5
"465",771031,"External",NA,0,0,NA,NA,NA
"466",771032,"External",NA,0,0,NA,NA,NA
"467",773036,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"468",773037,"External","Relative",6,24,1,24,6
"469",774031,"External",NA,0,0,NA,NA,NA
"470",774032,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"471",775031,"External",NA,0,0,NA,NA,NA
"472",776030,"External",NA,0,0,NA,NA,NA
"473",777031,"External",NA,0,0,NA,NA,NA
"474",779038,"External",NA,0,0,NA,NA,NA
"475",782171,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"476",783031,"External","Non Relative",56,32,4,32,56
"477",783032,"External","Non Relative",100,32,4,32,100
"478",794030,"External","Care Center",30,12,6,12,30
"479",794031,"Never Care for by Other","Never Cared for By Other",0,0,0,NA,NA
"480",796032,"External",NA,0,0,NA,NA,NA
"481",796033,"External",NA,0,0,NA,NA,NA
